n_hidden,n_neuron,epoch,loss_train,loss_val,Site
5,64,130,0.25298086,0.29363364,AR-SLu
3,8,36,0.049983162,0.052101314,AT-Neu
4,32,30,0.22900715,0.22689693,AU-ASM
3,40,44,0.30419916,0.32832932,AU-Cpr
3,48,35,0.27788642,0.28202587,AU-Cum
1,80,22,0.06985265,0.066075705,AU-DaP
3,80,19,0.10107449,0.105641544,AU-DaS
1,8,54,0.10817442,0.10800013,AU-Dry
1,24,76,0.18545575,0.22188386,AU-Emr
1,64,167,1.9943191,1.9552484,AU-GWW
3,24,28,0.1925305,0.19949207,AU-Gin
1,80,22,0.08953369,0.09175946,AU-How
5,80,33,0.15824896,0.15666714,AU-Rig
3,8,36,0.078586675,0.081162296,AU-Stp
2,24,42,0.25291482,0.23105837,AU-TTE
2,56,37,0.096676625,0.11470777,AU-Tum
1,64,236,1.5680536,1.5564578,AU-Ync
1,80,30,0.08460756,0.08771514,BE-Lon
4,16,19,0.18214029,0.1799529,BE-Vie
5,32,21,0.07579636,0.090894215,BR-Sa3
3,8,38,0.12500419,0.13873321,CA-Qfo
1,56,27,0.08926889,0.10059726,CA-SF1
1,64,54,0.071869135,0.07743601,CA-SF2
4,64,37,0.09427819,0.10813917,CA-SF3
1,56,24,0.043239992,0.041932624,CH-Cha
3,8,54,0.14963092,0.16187356,CH-Dav
5,48,32,0.04153586,0.0454321,CH-Fru
5,8,399,1.1691186,0.9994208,CN-Cng
4,56,206,0.36920556,0.36094725,CN-HaM
5,56,124,0.36920547,0.36094725,CN-HaM
5,64,37,0.09082458,0.1009429,DE-Geb
3,8,34,0.04933347,0.063787624,DE-Gri
3,16,39,0.101831906,0.10741759,DE-Hai
5,64,29,0.07939819,0.100116186,DE-Kli
5,64,24,0.09292081,0.11773864,DE-Obe
5,56,29,0.08221307,0.0849992,DE-Seh
4,80,36,0.11083365,0.12671587,DE-Tha
1,80,75,0.0873806,0.12502894,ES-LgS
1,24,46,0.114815004,0.11406638,FI-Hyy
1,40,21,0.14194751,0.15053418,FI-Sod
3,32,28,0.09381646,0.10459682,FR-Gri
5,72,47,0.25508335,0.2948736,FR-LBr
4,16,38,0.0921471,0.10086091,IT-BCi
2,40,42,0.3877782,0.33975503,IT-CA1
2,8,145,0.16388646,0.21337353,IT-CA2
2,48,45,0.075414136,0.07691202,IT-CA3
1,72,38,0.1876551,0.2038884,IT-Col
1,64,34,0.15470484,0.16199823,IT-Cpz
5,8,27,0.10259156,0.11161469,IT-Isp
2,64,33,0.16858245,0.19049199,IT-Lav
3,24,41,0.04242491,0.04688274,IT-MBo
4,48,16,0.28206685,0.2996611,IT-Noe
4,16,43,0.10379061,0.14569601,IT-PT1
2,72,35,0.11613763,0.13548775,IT-Ren
1,56,42,0.25902802,0.2737464,IT-Ro2
5,40,52,0.10593836,0.13443595,IT-SR2
2,24,43,0.14230931,0.1754464,IT-SRo
3,56,15,0.15212943,0.16017444,NL-Loo
2,72,40,0.24443945,0.25803012,RU-Fyo
5,8,48,0.19658999,0.2210253,SD-Dem
4,8,27,0.16801259,0.1881733,US-AR1
1,24,74,0.12475458,0.1357097,US-AR2
2,64,56,0.2682843,0.26907495,US-ARM
4,32,21,0.09255771,0.09429015,US-Blo
1,80,119,0.7476281,0.86254084,US-Cop
4,40,41,0.8343115,0.86290354,US-GLE
1,40,44,0.09715371,0.10192012,US-Goo
2,40,21,0.06879537,0.075693846,US-KS2
4,40,30,0.27403498,0.26808372,US-MMS
1,40,56,0.1733187,0.17936319,US-Me2
4,8,133,0.35978395,0.5042867,US-Me6
3,48,32,0.16246185,0.15585491,US-NR1
1,56,36,0.14359851,0.1400676,US-Ne1
1,32,50,0.27796727,0.2831655,US-Ne2
4,16,27,0.24283126,0.24661209,US-Ne3
1,80,26,0.09917715,0.099377505,US-SRM
3,8,37,0.08035171,0.083428755,US-Syv
2,40,24,0.14383888,0.15568864,US-Ton
5,8,22,0.08830763,0.094469145,US-WCr
3,32,33,0.16292328,0.17130889,US-Whs
2,16,58,0.39467832,0.4064422,US-Wkg
